,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Paris,10.0,33.0,24.3,18.9,1.2,1.2,-2.7,29.6,19.0,23.3,-4.2,33.8
London,28.3,3.5,2.3,2.3,7.2,16.0,12.3,6.6,19.5,0.6,6.7,9.7
New York,13.2,26.4,3.0,15.6,18.7,-3.1,19.3,1.8,-2.4,33.0,33.6,27.3
Tokyo,7.2,-1.1,22.4,12.6,-0.1,14.8,-3.6,31.4,5.4,21.5,7.5,15.8
Sydney,16.9,2.4,33.8,26.0,32.6,30.8,18.9,31.9,-1.5,2.8,-3.2,8.0
Cairo,10.5,5.9,28.1,9.3,6.2,16.7,0.6,27.1,-2.0,34.5,25.9,2.9
Rio de Janeiro,-4.8,27.6,23.3,24.2,25.9,-2.0,9.3,-0.4,29.5,19.9,8.2,-2.5
Moscow,7.4,8.0,24.2,20.5,30.5,13.9,-0.2,23.5,25.4,17.5,25.8,14.8
Delhi,15.9,12.1,-4.0,-0.7,-3.7,20.5,7.6,15.3,31.3,5.0,11.4,25.2
Cape Town,4.2,-1.9,6.6,1.4,32.2,27.3,20.3,29.9,27.1,2.5,30.7,16.6
